id,name,image,effect,required for,description,dlc
10,Greater Potentate's Cookbook [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Lightning Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Lightning Pot",1
11,Greater Potentate's Cookbook [12],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Rock Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Rock Pot",1
12,Greater Potentate's Cookbook [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Poison Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Poison Pot",1
13,Greater Potentate's Cookbook [9],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Rot Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Rot Pot",1
14,Greater Potentate's Cookbook [10],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Fly Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Fly Pot",1
15,Greater Potentate's Cookbook [11],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Freezing Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Freezing Pot",1
16,Mad Craftsman's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/mad_craftsmans_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Frenzied Flame Pot'],"A record of crafting techniques left by a craftsman who served Midra, master of the manse, and Nanaya, its lady. His eyes were burned by the Flame of Frenzy. Acquire the knowledge to craft the following: - Hefty Frenzied Flame Pot",1
17,Greater Potentate's Cookbook [8],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Fetid Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Fetid Pot",1
18,Greater Potentate's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Oil Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Oil Pot",1
19,Greater Potentate's Cookbook [13],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Volcano Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Volcano Pot",1
20,Greater Potentate's Cookbook [14],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Rancor Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Rancor Pot",1
21,Greater Potentate's Cookbook [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Red Lightning Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Red Lightning Pot",1
22,Greater Potentate's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Furnace Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Furnace Pot",1
23,Ancient Dragon Knight's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_dragon_knights_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Red Lightning Pot'],A record of crafting techniques of the ancient dragon knight who followed Godwyn's golden knights into the realm of shadow. Acquire the knowledge to craft the following: - Red Lightning Pot,1
24,Mad Craftsman's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/mad_craftsmans_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Frenzied Flame Pot', 'Roped Frenzied Flame Pot']","A record of crafting techniques left by a craftsman who served Midra, master of the manse, and Nanaya, its lady. His eyes were burned by the Flame of Frenzy. Acquire the knowledge to craft the following: - Frenzied Flame Pot - Roped Frenzied Flame Pot",1
25,St. Trina Disciple's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/st._trina_disciples_cookbook_1_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Eternal Sleep Pot'],A record of crafting techniques left by a disciple who pursued the teachings of the saint of sleepyet what seemed a gentle sleep at first ripened into velvet. Acquire the knowledge to craft the following: - Eternal Sleep Pot,1
26,Fire Knight's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knights_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Messmerfire Grease', 'Drawstring Messmerfire Grease ']","A record of crafting techniques left by the Fire Knights, who served Messmer the Impaler. Details the art of wielding fire for the benefit of soldiers setting out to join the crusade. Acquire the knowledge to craft the following: - Messmerfire Grease - Drawstring Messmerfire Grease",1
27,Ancient Dragon Knight's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_dragon_knights_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Dragonbolt Grease', 'Drawstring Dragonbolt Grease']",A record of crafting techniques of the ancient dragon knight who followed Godwyn's golden knights into the realm of shadow. Acquire the knowledge to craft the following: - Dragonbolt Grease - Drawstring Dragonbolt Grease,1
28,Loyal Knight's Cookbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/loyal_knights_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Royal Magic Grease', 'Drawstring Royal Magic Grease']",A record of crafting techniques of the Royal Carian Knights. Details the arts of the old enchanted knights. Acquire the knowledge to craft the following: - Royal Magic Grease - Drawstring Royal Magic Grease,1
29,Battlefield Priest's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/battlefield_priests_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Golden Grease', 'Drawstring Golden Grease']","A record of crafting techniques left by the devout battlefield priests. These keepers of the faith fought bitterly to spread their gospel in the realm of shadow, where there was no Erdtree to gaze upon. Acquire the knowledge to craft the following: - Golden Grease - Drawstring Golden Grease",1
30,Igon's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Dragon Communion Grease', 'Dragon Communion Harpoon']","A record of crafting techniques left by a warrior who challenged the vile dragon Bayle, only to be grievously injured and broken by fear. Contains details on how a mere mortal can fell a mighty dragon. Acquire the knowledge to craft the following: - Dragon Communion Grease - Dragon Communion Harpoon",1
31,Battlefield Priest's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/battlefield_priests_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Festive Grease'],"A record of crafting techniques left by the devout battlefield priests. These keepers of the faith fought bitterly to spread their gospel in the realm of shadow, where there was no Erdtree to gaze upon. Acquire the knowledge to craft the following: - Festive Grease",1
32,Forager Brood Cookbook [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/forager_brood_cookbook_1_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Spirit Raisin', 'Charming Branch']","A record of crafting techniques left by the non-human forager brood. Shared out of kindness toward their savior, whose name was unknown. Acquire the knowledge to craft the following: - Spirit Raisin - Charming Branch",1
33,St. Trina Disciple's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/st._trina_disciples_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Lulling Branch'],A record of crafting techniques left by a disciple who pursued the teachings of the saint of sleepyet what seemed a gentle sleep at first ripened into velvet. Acquire the knowledge to craft the following: - Lulling Branch,1
34,Grave Keeper's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave_keepers_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Polter Stone'],A record of crafting techniques of the grave keepers who watch over those who rest in the realm of shadow. Acquire the knowledge to craft the following: - Polter Stone,1
35,Antiquity Scholar's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/antiquity_scholars_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Spritestone'],A record of crafting techniques left by the hornsent academics who studied the ancient ruins of Rauh. Details techniques for working with sprites thought lost to antiquity. Acquire the knowledge to craft the following: - Spritestone,1
36,Tibia's Cookbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tibias_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Call of Tibia'],"A record of crafting techniques of the mariners, the oldest of grave keepers. Details an ancient means of summoning the dead. Acquire the knowledge to craft the following: - Call of Tibia",1
37,Mad Craftsman's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/mad_craftsmans_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Surging Frenzied Flame'],"A record of crafting techniques left by a craftsman who served Midra, master of the manse, and Nanaya, its lady. His eyes were burned by the Flame of Frenzy. Acquire the knowledge to craft the following: - Surging Frenzied Flame",1
38,Battlefield Priest's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/battlefield_priests_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Golden Vow'],"A record of crafting techniques left by the devout battlefield priests. These keepers of the faith fought bitterly to spread their gospel in the realm of shadow, where there was no Erdtree to gaze upon. Acquire the knowledge to craft the following: - Golden Vow",1
39,Fire Knight's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knights_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Fire Coil'],"A record of crafting techniques left by the Fire Knights, who served Messmer the Impaler. Details the art of wielding fire for the benefit of soldiers setting out to join the crusade. Acquire the knowledge to craft the following: - Fire Coil",1
40,Antiquity Scholar's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/antiquity_scholars_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Fire Spritestone'],A record of crafting techniques left by the hornsent academics who studied the ancient ruins of Rauh. Details techniques for working with sprites thought lost to antiquity. Acquire the knowledge to craft the following: - Fire Spritestone,1
41,Finger-Weaver's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger_weavers_cookbook_elden_ring_sote_wiki_guide200px.png,Expands crafting repertoire,['Glinting Nail'],"A record of crafting techniques left by a determined student of the finger ruins. His brush with the sublime all but shattered his mind, though he was left capable enough to leave these few precious words. Acquire the knowledge to craft the following: - Glinting Nail",1
42,Battlefield Priest's Cookbook [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/battlefield_priests_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Sunwarmth Stone'],"A record of crafting techniques left by the devout battlefield priests. These keepers of the faith fought bitterly to spread their gospel in the realm of shadow, where there was no Erdtree to gaze upon. Acquire the knowledge to craft the following: - Sunwarmth Stone",1
43,Grave Keeper's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave_keepers_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Piquebone Arrow', 'Piquebone Arrow (Fletched)', 'Piquebone Bolt']",A record of crafting techniques of the grave keepers who watch over those who rest in the realm of shadow. Acquire the knowledge to craft the following: - Piquebone Arrow - Piquebone Arrow (Fletched) - Piquebone Bolt,1
44,St. Trina Disciple's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/st._trina_disciples_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,"['Eternal Sleep Grease', 'Drawstring Eternal Sleep Grease']",A record of crafting techniques left by a disciple who pursued the teachings of the saint of sleepyet what seemed a gentle sleep at first ripened into velvet. Acquire the knowledge to craft the following: - Eternal Sleep Grease - Drawstring Eternal Sleep Grease,1
45,Armorer's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/armorers_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Fire Grease', 'Drawstring Fire Grease', 'Fireproof Dried Liver']",A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Fire Grease- Drawstring Fire Grease- Fireproof Dried Liver,0
46,Armorer's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/armorers_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Firebone Arrow', 'Firebone Arrow (Fletched)', 'Firebone Bolt', 'Neutralizing Boluses']",A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Firebone Arrow- Firebone Arrow (Fletched)- Firebone Bolt- Neutralizing Boluses,0
47,Armorer's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/armorers_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Exalted Flesh'],A record of crafting techniques left by an armorer who served the great general Radahn.Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Exalted Flesh,0
48,Armorer's Cookbook [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/armorers_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Redmane Fire Pot'],A record of crafting techniques left by an armorer who served the great general Radahn.Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Redmane Fire Pot,0
49,Armorer's Cookbook [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/armorers_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Immunizing Cured Meat', 'Immunizing White Cured Meat']",A record of crafting techniques left by an armorer who served the great general Radahn.Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Immunizing Cured Meat - Immunizing White Cured Meat,0
50,Armorer's Cookbook [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/armorers_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Preserving Boluses'],A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Preserving Boluses,0
51,Armorer's Cookbook [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/armorers_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Giantsflame Fire Pot'],A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Giantsflame Fire Pot,0
52,Fevor's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/fevors_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Sleep Pot'],A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Sleep Pot,0
53,Fevor's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/fevors_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Sleepbone Arrow', '', 'Soporific Grease', 'Drawstring Soporific Grease']",A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Sleepbone Arrow- Soporific Grease- Drawstring Soporific Grease,0
54,Fevor's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/fevors_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Bewitching Branch'],A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Bewitching Branch,0
55,Missionary's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/missionarys_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Holy Water Pot', 'Roped Holy Water Pot']","A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Holy Water Pot- Roped Holy Water Pot",0
56,Missionary's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/missionarys_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Scriptstone', 'Grace Mimic', 'Gold-Pickled Fowl Foot']","A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: -Scriptstone-Grace Mimic-Gold-Pickled Fowl Foot",0
57,Missionary's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/missionarys_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Silver-Pickled Fowl Foot'],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Silver-Pickled Fowl Foot",0
58,Missionary's Cookbook [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/missionarys_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Holy Grease', 'Drawstring Holy Grease', 'Haligbone Arrow', 'Haligbone Arrow (Fletched)', 'Haligbone Bolt']","A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Holy Grease- Drawstring Holy Grease- Haligbone Arrow- Haligbone Arrow (Fletched)- Haligbone Bolt",0
59,Missionary's Cookbook [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/missionarys_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Sacred Order Pot'],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Sacred Order Pot",0
60,Missionary's Cookbook [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/missionarys_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Holyproof Dried Liver'],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Holyproof Dried Liver",0
61,Missionary's Cookbook [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/missionarys_cookbook_key_items_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Rejuvenating Boluces'],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Rejuvenating Boluces",0
62,Nomadic Warrior's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_warriors_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Bone Arrow', 'Bone Arrow (Fletched)', 'Bone Bolt']",A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: - Bone Arrow- Bone Arrow (Fletched)- Bone Bolt,0
63,Nomadic Warrior's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_warriors_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Glowstone', 'Invigorating Cured Meat', 'Invigorating White Cured Meat']",A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: - Glowstone- Invigorating Cured Meat- Invigorating White Cured Meat,0
64,Nomadic Warrior's Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_warriors_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Pickled Turtle Neck', 'Poisonbone Arrow', 'Poisonbone Arrow (Fletched)', 'Poisonbone Bolt']",A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: - Pickled Turtle Neck- Poisonbone Arrow- Poisonbone Arrow (Fletched)- Poisonbone Bolt,0
65,Nomadic Warrior's Cookbook [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_warriors_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,"['Fetid Pot', 'Roped Fetid Pot']",A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: - Fetid Pot- Roped Fetid Pot,0
66,Nomadic Warrior's Cookbook [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_warriors_cookbook_elden_ring_wiki_guide_200px.png,Expands crafting repertoire,['Beastlure Pot'],A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: - Beastlure Pot,0
