id,name,image,effect,FP cost,description,dlc
10,Dewgem,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dewgem_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Glows at night and blossoms mainly at the waterside 
      ",Succulent plant that has supped on night-tinged dew. Material used for crafting items. Glows at night and blossoms mainly at the waterside. Said to have been used in the practice of sprite medicine long ago.,1
11,Black Pyrefly,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_pyrefly_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Flies in burnt and war-torn lands 
      ",Fiery butterfly with black cinder wings. Material used for crafting items. Flies in war-torn lands that have been scoured by Messmer's flame. They burn in dark and slender ribbons of fire.,1
12,Glintslab Firefly,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintslab_firefly_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Mainly found near Manus Metyr 
      ","Glintstone firefly improved by selective breeding. Material used for crafting items. Mainly found near Manus Metyr. The glintstone that produces its light has become freakishly enlarged, while the span of its life is as brief as a whisper.",1
13,Yellow Fulgurbloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/yellow_fulgurbloom_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Blossoms in the real of shadow's underground gravesites and places struck by lightning 
      ",Yellow flower that crackles with lightning. Material used for crafting items. Blossoms in the realm of shadow's underground gravesites and places struck by lightning. Imbued with yellow lightning's essence.,1
14,Shadow Sunflower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shadow_sunflower_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found near the scadutree 
      ","A large flower that blooms facing the Scadutree. Material used for crafting items. Found near the Scadutree. These flowers, veiled in shadow and covered in impenetrable thorns, are suffused with profound holinessmuch akin to the Scadutree itself.",1
15,Toxic Mossling,http://eldenring.wiki.fextralife.com/file/Elden-Ring/toxic_mossling_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found in poison swamps 
      ","A large moss animal glutted with poison. Material used for crafting items. Found in poison swamps. Round and plump, like a darling infant.",1
16,Scarlet Bud,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scarlet_bud_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Grows in lands blighetd by the scarlet rot 
      ","A large, rotten bud that will never come into bloom. Material used for crafting items. Grows in lands blighted by the scarlet rot. There was a time when these buds were not touched by the scarlet rot's blightwhen they were the symbol of the small church deep in the ancient ruins of Rauh.",1
17,Sanguine Amaryllis,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sanguine_amaryllis_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Grown by bloodfiends in pools of blood 
      ",A bloodflower with meaty petals. Material used for crafting items. Grown by bloodfiends in pools of blood. Perhaps even the fiends admire blood's beauty.,1
18,Frozen Maggot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frozen_maggot_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Mainly found in gaols 
      ","Frozen maggots that somehow continue to wriggle. Material used for crafting items. Mainly found in gaols. The maggots develop in great-jar innards, and are an invaluable source of sustenance to the prisoners.",1
19,Deep-Purple Lily,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deep-purple_lily_1_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Grows in the blue flower field at the coast 
      ","A deep-purple water lily that is on the verge of wilting. Material used for crafting items. Grows in the blue flower field at the coast. Like a syrupy poison, its nectar lulls the imbiber into sweet, velvety sleep.",1
20,Nectarblood Burgeon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nectarblood_burgeon_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ","A young shoot, heavy with velvety purple nectar. Material used for crafting items. Exceedingly rare to find. Said to burgeon forth where the nectar-like blood of abandoned Trina pooled.",1
21,Winter-Lantern Fly,http://eldenring.wiki.fextralife.com/file/Elden-Ring/winter-lantern_fly_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Flies lazily around abyssal forest. 
      ","Winged insect carrying a dangling frenzied flame grape. Material used for crafting items. Flies lazily around the abyssal forest. Said to be heralds of the aging untouchable. On seeing these, the wise know to stay well clear of that place.",1
22,Swollen Grape,http://eldenring.wiki.fextralife.com/file/Elden-Ring/swollen_grape_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ","An eyeball of the frenzied flame that has swollen from within. Material used for crafting items. Exceedingly rare to find. Marked with fingerprint burns, proof of having being touched directly by the Three Fingers' embrace.",1
23,Grave Keeper's Brainpan,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave_keepers_brainpan_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Mainly found in hidden grave of Charo 
      ","Skull bone of an old grave keeper. Material used for crafting items. Mainly found in hidden grave of Charo. The old grave keepers are boatsmen, and continue to summon the dead even after withering away.",1
24,Horn-Strewn Excrement,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horn-strewn_excrement_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found underfoot in places like forests where beast dwell 
      ",Excrement of a large carnivorous beast containing fragments of horns. Material used for crafting items. Found underfoot in places like forests where beasts dwell. It is said that the deadliest of the horned predators enjoy the sport of hunting and devouring other horned creatures.,1
25,Gas Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gas_stone_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found in the ruined forges 
      ",Block of stone infused with hot gas. Material used for crafting items. Found in the ruined forges. Perhaps these were once used as fuel for the smithing process.,1
26,Ghostflame Bloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghostflame_bloom_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Blossoms in the hidden grave of Charo 
      ","Ghostflame flower that grows in gravesites. Material used for crafting items. Blossoms in the hidden grave of Charo. Of a pair with another gravesite flower, the grave violet. All but incorporeal, it burns without so much as a sound.",1
27,Grave Cricket,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave_cricket_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Mainly found near stone coffins 
      ","Cricket that produces a raspy cry. Material used for crafting items. Mainly found near stone coffins. The sound of these crickets are often taken to be the rustling of the restless dead, or sometimes the sound of their calling voices.",1
28,Dragon's Calorbloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragons_calorbloom_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ","Flower with an uncanny shape, coursing with hot blood. Material used for crafting items. Exceedingly rare to find. A single flower is said to blossomonly oncefrom the hearts of dead warriors who oft partook of the Dragon Communion.",1
29,Finger Mimic,http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger_mimic_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ",Light-pink mushroom resembling a wizened finger. Material used for crafting items. Exceedingly rare to find. Used to by those who wish to become fingers to induce hallucinations. They call these mushrooms the stillborn of the Two Fingers.,1
30,Empyrean-Blood Burgeon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/empyrean-blood_burgeon_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        __obtained__ 
      ","A young shoot, heavy with Empyrean blood. Material used for crafting items. Exceedingly rare to find. Said to burgeon forth from where the golden blood of Miquella, the wounded Empyrean, pooled.",1
31,Congealed Putrescence,http://eldenring.wiki.fextralife.com/file/Elden-Ring/congealed_putrescence_1_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found underground in the land to where stone coffins drift 
      ","Bruise-colored putrescence that oozes from stone coffins, congealed into a large viscous lump. Material used for crafting items. Found underground in the land to where stone coffins drift. The putrescence is what remains of the impure lives kept within the stone coffins.",1
32,Roundrock,http://eldenring.wiki.fextralife.com/file/Elden-Ring/roundrock_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found on the ground at places like river banks 
      ","Round piece of rock shaped by the water's current. Can be used for crafting, or simply for throwing at enemies. Found on the ground at places like river banks. It breaks easily, owing to extensive cracking.",1
33,Spiritgrave Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spiritgrave_stone_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Mainly found on the Gravesite Plain 
      ","A piece of a gravestone that has started to turn into a spirit. Material used for crafting items. Mainly found on the Gravesite Plain. In places to where the dead have been brought since antiquity, the oldest gravestones turn into spirits and then fade away,",1
34,Rauh Burrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rauh_burrow_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Relic found at the ancient ruins of Rauh 
      ","Oval-shaped stone bearing an engraving. Material used for crafting items. Relic found at the ancient ruins of Rauh. In the center of the stone is a small nest-like hole. Once this is inhabited by a sprite, the stone can be used as a ritual implement.",1
35,Ember of Messmer,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ember_of_messmer_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Mainly found in Scadu Altus 
      ","Serpentine, cord-like ember. Material used for crafting items. Mainly found in Scadu Altus. A remnant of Messmer's flame, the symbol of the crusade, it continues to smolder as if crawling across the ground.",1
36,Blessed Bone Shard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blessed_bone_shard_1_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly raro to find 
      ","Shard of bone with a golden shine. Material used for crafting items. Exceedingly rare to find. A bone fragment touched by the gold of the Scadutree, broken from the remains of the warriors who perished in the realm of shadow. A blessing such as this is said to be the greatest honor that can be granted to the dead.",1
37,Red Fulgurbloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/red_fulgurbloom_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found at hte jagged peak on the south coast 
      ",Flower that crackles with red lightning. Material used for crafting items. Found at the jagged peak on the south coast. Said to bloom where the red lightning of the ancient dragons strikes the earth.,1
38,Nailstone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nailstone_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found at finger ruins 
      ",Flake-like stone shard with a faint fingerprint engraving. Material used for crafting items. Found at finger ruins. A piece that came loose from the tip of one of the column-like stone fingers that grow at finger ruins.,1
39,Sharp Gravel Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sharp_gravel_stone_2_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found at the jagged peak on the south coast 
      ",A particularly sharp piece of gravel stone. Material used for crafting items. Found at the jagged peak on the south coast. The scale of an ancient dragon that has supped on the blood of lesser dragons.,1
40,Furnace Visage,http://eldenring.wiki.fextralife.com/file/Elden-Ring/furnace_visage_key_item_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ","A smaller imitation of the furnace golem's visage. Material used for crafting items. Exceedingly rare to find. A stone mask surrounded by curled horns, depicting the fell god of fire that haunts the sagas of the hornsent.",1
41,Aeonian Butterfly,http://eldenring.wiki.fextralife.com/file/Elden-Ring/aeonian_butterfly_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found in the swamp of Aeonia 
      ","A butterfly with withered, scarlet wings found in the swamp of Aeonia.Material used for crafting items. According to myth, these butterflies were once the wings of the Goddess of Rot herself.",0
42,Albinauric Bloodclot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/albinauric_bloodclot_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by killing Albinaurics 
      ","The thick, coagulated blood of the Albinaurics.Material used for crafting items. Albinaurics are lifeforms made by human hands. Thus, many believe them to live impure lives, untouched by the Erdtree's grace.",0
43,Altus Bloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/altus_bloom_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Blooms on the Altus Plateau 
      ","A golden-tinged flower from a succulent plant that blooms on the Altus Plateau.Material used for crafting items. Said to be a funereal flower in an era long past, before the Erdtree grew.",0
44,Arteria Leaf,http://eldenring.wiki.fextralife.com/file/Elden-Ring/arteria_leaf__elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ","Dark red leaves with thick, swollen veins. Material used for crafting items. Exceedingly rare to find. A faint pulse can be felt in the veins. Stirs the blood, providing an enlivening effect.",0
45,Beast Blood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beast_blode_elden_ring_wiki_guide_200px.png,Material used for crafting materials,"
        Found by hunting carnivorous beasts 
      ","Fresh beast blood, glinting with gold.Material used for crafting items. Found by hunting carnivorous beasts. This glimmering blood never rots or decays.",0
46,Beast Liver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beast_liver_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting herbivorous beasts. 
      ",The fresh liver of a beast; a luscious fruit of life.Material used for crating items.Found by hunting herbivorous beast.Dried liver boost damage negation.,0
47,Bloodrose,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodrose_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Blooms in blood-soaked soil. 
      ",Blood-slick roses that bloom in festering blood.Material used for crafting items. Particularly beloved by those who serve the Lord of Blood. Glory to his inevitable reign.,0
48,Budding Cave Moss,http://eldenring.wiki.fextralife.com/file/Elden-Ring/budding_cave_moss_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Gives off pale light in dark caves 
      ","Faintly luminescent moss that grows in dark caves, speckled with tiny, yellow flowers.Material used for crafting items. It is primarily used in perfumes.",0
49,Budding Horn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/budding_horn_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting herbivorous beasts 
      ","A rarely-seen specimen of a young, budding horn.Material used for crafting items.Found by hunting herbivorous beasts. This horn began to sprout on a beast that typically bears no horn. Perhaps it's a vestige of the primordial crucible.",0
50,Cave Moss,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cave_moss_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Gives off pale light in dark caverns. 
      ",Faintly luminescent moss that grows in dark caves. Material used in crafting items. A fundamental ingredient for medicinal boluses.,0
51,Cracked Crystal,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cracked_crystal_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Widely found in crystal tunnels 
      ","A cracked, impure, degraded, and altogether unremarkable crystal.Material used for crafting items Widely found in crystal tunnels.",0
52,Crystal Cave Moss,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_cave_moss_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Gives off pale light in dark caves 
      ","Faintly luminescent moss that grows in dark caves, laced with fine crystals.Material used for crafting items. Among mosses, it possesses unique medicinal properties.",0
53,Crab Eggs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crab_eggs_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting large crabs. 
      ",Eggs of large crabs which dwell in the shallows.Materials used for crafting items. A nutritious foodstuff that warms from within. The flavor is exquisite. Only those of comfort and means know the truth:a crab's eggs are more delectable than its meat.,0
54,Crystal Bud,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_bud_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Widely found in 
       Liurnia of the Lakes
","A young plant, crystalized before it could mature.Material used for crafting items. Widely found in Liurnia Lake.",0
55,Dewkissed Herba,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dewkissed_herba_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found in and around the Eternal City 
      ","A herb that grows in the false night in and around the Eternal City.Material used for crafting items. Soaked in arcane dew, it gives off the faint glow of starlight.",0
56,Erdleaf Flower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/erdleaf_flower_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found throughout the Lands Between. 
      ","A dusky-yellow flower that has started to fade and wilt. Material used for crafting items. Found throughout the Lands Between. Said to grow from the old fallen leaves of the Erdtree, these flowers serve as the base material for a number of sorcery techniques.",0
57,Eye of Yelough,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eye_of_yelough_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Grown in lands afflicted by frenzy 
      ","A shrub fruit bursting with ripened pulp.Material used for crafting items. Grown in lands afflicted by frenzy, it's used for its pain-relieving properties... Though it's also known to be a dangerous intoxicant.",0
58,Faded Erdleaf Flower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/faded_erdleaf_flower_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Blooms in rotten lands 
      ","An Erdleaf flower that has faded into a plate scarlet, found blooming in rotten lands.Material used for crafting items. Said to be fed by leaves that fell from the Erdtree in days of antiquity.",0
59,Fire Blossom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_blossom_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Blooms on the mountaintops of the Giants 
      ",A half-ashen and smoldering flower that blooms on the mountaintops of the Giants.Material used for crafting items. Fertilized by the sparks from the forge at the peak where burns the flame of ruin.,0
60,Flight Pinion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flight_pinion_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting birds. 
      ",Flight feather of a bird of prey.Material used for crafting items.Commonly used for arrow fletchings.,0
61,Formic Rock,http://eldenring.wiki.fextralife.com/file/Elden-Ring/formic_rock_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found near Ainsel River and other places where giant ants live 
      ",Rock formed from solidified giant ant venom. Highly acidic.Material used for crafting items. Found near Ainsel River and other places where giant ants live.,0
62,Four-Toed Fowl Foot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/four-toed_fowl_foot_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting birds 
      ","Foot of a four-toed fowl.Material used for crafting items.In the Lands Between, having three digits is seen as a bad omen. As such, the rarer four-toed fowl's is a gift of great luck indeed.",0
63,Fulgurbloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fulgurbloom_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Blooms in lightning-stuck ground. 
      ",Yellow flower that grows in lightning-struck lands.Material used for crafting items.Imbued with traces of lightning's essence.,0
64,Glintstone Firefly,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_firefly_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Widely found in Liurnia Lake 
      ","A firefly whose glowing tail has hardened into glintstone, widely found in Liurnia Lake.Material used for crafting items. Alas, now that its tail is glintstone, it can no longer beguile potential mates.",0
65,Glintstone Scrap,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_scrap_elden_ring_wiki_guide_200px.png,"Break gem, using FP to produce a magic bolt.",,"Piece of glintstone tinged with unstable magic. Found in crystal tunnels.Break gem, using FP to produce a magic bolt.Poor quality and thereby easily broken, a sorcerer wouldn't give it a second look.",0
66,Gold-Tinged Excrement,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gold-tinged_excrement_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Often hidden in woods and thickets. 
      ","Someone's excrement. It has a golden tinge. Material used for crafting items. Often hidden in woods and thickets. Gold-tinged excrement is a highly stable substance; it doesn't dry out, nor does it lose its customary warmth or scent. For better or for worse, it remains as it is.",0
67,Golden Centipede,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_centipede_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found near churches and similar 
      ","The golden, desiccated remains of a centipede. Material used for crafting items. Kept as a fetish by Golden Order fundamentalists, especially the hunters of Those Who Live in Death. As such, they are found near churches and similar. do not",0
68,Golden Dung,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gold-tinged_excrement_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Often hidden in woods and thickets 
      ","Someone's excrement. It has a golden tinge. Material used for crafting items. Gold-tinged excrement is a highly stable substance; it doesn't dry out, nor does it lose its customary warmth or scent. For better or for worse, it remains as it is.",0
69,Golden Sunflower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_sunflower_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found near Minor Erdtrees 
      ","A golden sunflower that grows facing the Erdtree.Material used for crafting items.Found near Minor Erdtrees. At the foot of the Erdtree, they retain their color, along with a powerful holy essence.",0
70,Golden Rowa,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_rowa_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Easily found near the Erdtree 
      ",A Rowa fruit tinted with gold.Material used for crafting items. Easily found near the Erdtree.,0
71,Golden Sunflower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_sunflower_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found near Minor Erdtrees 
      ","A golden sunflower that grows facing the Erdtree.Material used for crafting items.Found near Minor Erdtrees. At the foot of the Erdtree, they retain their color, along with a powerful holy essence.",0
72,Grave Violet,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave_violet_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Blooms in graveyards. 
      ","A purple flower that blooms in graveyards.Material used for crafting items. The hue of ghostflame, it's believed to be useful in calling forth spirits.",0
73,Gravel Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gravel_stone_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found in lands once beset by ancient dragons 
      ","A small clump of sharp, pointed stones.Material used for crafting items. Such compound stones, found in lands once beset by ancient dragons, are said to be the scales of those very beasts.",0
74,Great Dragonfly Head,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_dragonfly_head_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting large dragonflies. 
      ",Head of a large dragonfly.Material used for crafting items.Long believed to have the ability to neutralize poisons.,0
75,Herba,http://eldenring.wiki.fextralife.com/file/Elden-Ring/herba_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found in thickets and elsewhere. 
      ",Evergreen leaves that give off a faint light.Material used for crafting items.This very common medicinal plant can be found in thickets and elsewhere.,0
76,Human Bone Shard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/human_bone_shard_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting Those Who Live in Death 
      ","Fragment of bone with dun mottling.Material used for crafting items.Found by hunting Those Who Live in Death. Lamentably brittle, it crumbles at the lightest caress.",0
